threshold,sensitivity,specificity,accuracy,balanced_accuracy,precision,f1,tn,fp,fn,tp,meets_constraints
0.13653482496738434,0.9444444444444444,0.52,0.6751269035532995,0.7322222222222222,0.53125,0.6799999999999999,65,60,4,68,False
0.14072394371032715,0.9444444444444444,0.528,0.6802030456852792,0.7362222222222222,0.5354330708661418,0.6834170854271356,66,59,4,68,False
0.1447489708662033,0.9444444444444444,0.536,0.6852791878172588,0.7402222222222222,0.5396825396825397,0.6868686868686867,67,58,4,68,False
0.14622463285923004,0.9444444444444444,0.544,0.6903553299492385,0.7442222222222222,0.544,0.6903553299492385,68,57,4,68,False
0.14781659841537476,0.9444444444444444,0.552,0.6954314720812182,0.7482222222222222,0.5483870967741935,0.6938775510204082,69,56,4,68,False
0.14858213067054749,0.9444444444444444,0.56,0.700507614213198,0.7522222222222222,0.5528455284552846,0.6974358974358974,70,55,4,68,False
0.14901725947856903,0.9444444444444444,0.568,0.7055837563451777,0.7562222222222221,0.5573770491803278,0.7010309278350515,71,54,4,68,False
0.1540173441171646,0.9444444444444444,0.576,0.7106598984771574,0.7602222222222221,0.5619834710743802,0.7046632124352331,72,53,4,68,False
0.17024800181388855,0.9444444444444444,0.584,0.7157360406091371,0.7642222222222221,0.5666666666666667,0.7083333333333334,73,52,4,68,False
0.17359542846679688,0.9444444444444444,0.592,0.7208121827411168,0.7682222222222221,0.5714285714285714,0.7120418848167539,74,51,4,68,False
0.1741941273212433,0.9444444444444444,0.6,0.7258883248730964,0.7722222222222221,0.576271186440678,0.7157894736842105,75,50,4,68,False
0.17434418201446533,0.9305555555555556,0.6,0.7208121827411168,0.7652777777777777,0.5726495726495726,0.708994708994709,75,50,5,67,False
0.17486071586608887,0.9305555555555556,0.608,0.7258883248730964,0.7692777777777777,0.5775862068965517,0.7127659574468085,76,49,5,67,True
0.180469810962677,0.9305555555555556,0.616,0.7309644670050761,0.7732777777777777,0.5826086956521739,0.7165775401069518,77,48,5,67,True
0.18895159661769867,0.9305555555555556,0.624,0.7360406091370558,0.7772777777777777,0.5877192982456141,0.7204301075268819,78,47,5,67,True
0.19217434525489807,0.9305555555555556,0.632,0.7411167512690355,0.7812777777777777,0.5929203539823009,0.7243243243243244,79,46,5,67,True
0.1927352100610733,0.9166666666666666,0.632,0.7360406091370558,0.7743333333333333,0.5892857142857143,0.717391304347826,79,46,6,66,True
0.1982090324163437,0.9027777777777778,0.632,0.7309644670050761,0.7673888888888889,0.5855855855855856,0.7103825136612022,79,46,7,65,False
0.19937178492546082,0.9027777777777778,0.64,0.7360406091370558,0.7713888888888889,0.5909090909090909,0.7142857142857143,80,45,7,65,False
0.22141554951667786,0.9027777777777778,0.648,0.7411167512690355,0.7753888888888889,0.5963302752293578,0.718232044198895,81,44,7,65,False
0.2226451337337494,0.8888888888888888,0.648,0.7360406091370558,0.7684444444444445,0.5925925925925926,0.711111111111111,81,44,8,64,False
0.22699688374996185,0.8888888888888888,0.656,0.7411167512690355,0.7724444444444445,0.5981308411214953,0.7150837988826816,82,43,8,64,False
0.23226484656333923,0.8888888888888888,0.664,0.7461928934010152,0.7764444444444445,0.6037735849056604,0.7191011235955056,83,42,8,64,False
0.23852072656154633,0.8888888888888888,0.672,0.751269035532995,0.7804444444444445,0.6095238095238096,0.7231638418079096,84,41,8,64,False
0.23975148797035217,0.8888888888888888,0.68,0.7563451776649747,0.7844444444444445,0.6153846153846154,0.7272727272727274,85,40,8,64,False
0.24483433365821838,0.8888888888888888,0.688,0.7614213197969543,0.7884444444444444,0.6213592233009708,0.7314285714285714,86,39,8,64,False
0.24539947509765625,0.8888888888888888,0.696,0.766497461928934,0.7924444444444444,0.6274509803921569,0.735632183908046,87,38,8,64,False
0.24746698141098022,0.875,0.696,0.7614213197969543,0.7855,0.6237623762376238,0.7283236994219653,87,38,9,63,False
0.25158658623695374,0.875,0.704,0.766497461928934,0.7895,0.63,0.7325581395348838,88,37,9,63,False
0.2634395658969879,0.875,0.712,0.7715736040609137,0.7935,0.6363636363636364,0.7368421052631579,89,36,9,63,False
0.265235960483551,0.875,0.72,0.7766497461928934,0.7975,0.6428571428571429,0.7411764705882353,90,35,9,63,False
0.266838014125824,0.875,0.728,0.7817258883248731,0.8015,0.6494845360824743,0.7455621301775148,91,34,9,63,False
0.2768569886684418,0.8611111111111112,0.728,0.7766497461928934,0.7945555555555556,0.6458333333333334,0.738095238095238,91,34,10,62,False
0.2892490327358246,0.8611111111111112,0.736,0.7817258883248731,0.7985555555555556,0.6526315789473685,0.7425149700598802,92,33,10,62,False
0.2923181354999542,0.8611111111111112,0.744,0.7868020304568528,0.8025555555555556,0.6595744680851063,0.7469879518072289,93,32,10,62,False
0.31213903427124023,0.8611111111111112,0.752,0.7918781725888325,0.8065555555555556,0.6666666666666666,0.7515151515151516,94,31,10,62,False
0.3127504289150238,0.8611111111111112,0.76,0.7969543147208121,0.8105555555555556,0.6739130434782609,0.7560975609756099,95,30,10,62,False
0.3287947475910187,0.8611111111111112,0.768,0.8020304568527918,0.8145555555555556,0.6813186813186813,0.7607361963190185,96,29,10,62,False
0.3313392996788025,0.8611111111111112,0.776,0.8071065989847716,0.8185555555555556,0.6888888888888889,0.7654320987654321,97,28,10,62,False
0.35074180364608765,0.8472222222222222,0.776,0.8020304568527918,0.8116111111111111,0.6853932584269663,0.7577639751552795,97,28,11,61,False
0.35848554968833923,0.8472222222222222,0.784,0.8071065989847716,0.8156111111111111,0.6931818181818182,0.7625000000000001,98,27,11,61,False
0.36287492513656616,0.8472222222222222,0.792,0.8121827411167513,0.8196111111111111,0.7011494252873564,0.7672955974842768,99,26,11,61,False
0.36330264806747437,0.8472222222222222,0.8,0.817258883248731,0.8236111111111111,0.7093023255813954,0.7721518987341772,100,25,11,61,False
0.3638235032558441,0.8333333333333334,0.8,0.8121827411167513,0.8166666666666667,0.7058823529411765,0.7643312101910827,100,25,12,60,False
0.3642251491546631,0.8333333333333334,0.808,0.817258883248731,0.8206666666666667,0.7142857142857143,0.7692307692307692,101,24,12,60,False
0.3681236803531647,0.8194444444444444,0.808,0.8121827411167513,0.8137222222222222,0.7108433734939759,0.7612903225806451,101,24,13,59,False
0.3721041679382324,0.8194444444444444,0.816,0.817258883248731,0.8177222222222222,0.7195121951219512,0.7662337662337662,102,23,13,59,False
0.3746386766433716,0.8194444444444444,0.824,0.8223350253807107,0.8217222222222222,0.7283950617283951,0.7712418300653595,103,22,13,59,False
0.3807489573955536,0.8194444444444444,0.832,0.8274111675126904,0.8257222222222222,0.7375,0.7763157894736842,104,21,13,59,False
0.3923448622226715,0.8194444444444444,0.84,0.8324873096446701,0.8297222222222222,0.7468354430379747,0.781456953642384,105,20,13,59,False
0.41885533928871155,0.8194444444444444,0.848,0.8375634517766497,0.8337222222222223,0.7564102564102564,0.7866666666666666,106,19,13,59,False
0.4320206940174103,0.8194444444444444,0.856,0.8426395939086294,0.8377222222222223,0.7662337662337663,0.7919463087248323,107,18,13,59,False
0.43219128251075745,0.8194444444444444,0.864,0.8477157360406091,0.8417222222222223,0.7763157894736842,0.7972972972972973,108,17,13,59,False
0.4340052902698517,0.8194444444444444,0.872,0.8527918781725888,0.8457222222222223,0.7866666666666666,0.802721088435374,109,16,13,59,False
0.43855103850364685,0.8055555555555556,0.872,0.8477157360406091,0.8387777777777778,0.7837837837837838,0.7945205479452055,109,16,14,58,False
0.4586583375930786,0.7916666666666666,0.872,0.8426395939086294,0.8318333333333333,0.7808219178082192,0.7862068965517242,109,16,15,57,False
0.4613187909126282,0.7916666666666666,0.88,0.8477157360406091,0.8358333333333333,0.7916666666666666,0.7916666666666666,110,15,15,57,False
0.4695473909378052,0.7777777777777778,0.88,0.8426395939086294,0.8288888888888889,0.7887323943661971,0.7832167832167832,110,15,16,56,False
0.47321999073028564,0.7777777777777778,0.888,0.8477157360406091,0.8328888888888889,0.8,0.7887323943661971,111,14,16,56,False
0.47794991731643677,0.7777777777777778,0.896,0.8527918781725888,0.8368888888888889,0.8115942028985508,0.7943262411347518,112,13,16,56,False
0.48384931683540344,0.7777777777777778,0.904,0.8578680203045685,0.8408888888888889,0.8235294117647058,0.7999999999999999,113,12,16,56,False
0.49701163172721863,0.7777777777777778,0.912,0.8629441624365483,0.8448888888888889,0.835820895522388,0.8057553956834532,114,11,16,56,False
0.49779969453811646,0.7638888888888888,0.912,0.8578680203045685,0.8379444444444444,0.8333333333333334,0.7971014492753623,114,11,17,55,False
0.510315477848053,0.75,0.912,0.8527918781725888,0.831,0.8307692307692308,0.7883211678832116,114,11,18,54,False
0.5153012871742249,0.7361111111111112,0.912,0.8477157360406091,0.8240555555555555,0.828125,0.7794117647058824,114,11,19,53,False
0.5194312334060669,0.7361111111111112,0.92,0.8527918781725888,0.8280555555555555,0.8412698412698413,0.7851851851851852,115,10,19,53,False
0.5315665602684021,0.7222222222222222,0.92,0.8477157360406091,0.8211111111111111,0.8387096774193549,0.7761194029850746,115,10,20,52,False
0.5613114237785339,0.7222222222222222,0.928,0.8527918781725888,0.8251111111111111,0.8524590163934426,0.7819548872180451,116,9,20,52,False
0.615890622138977,0.7083333333333334,0.928,0.8477157360406091,0.8181666666666667,0.85,0.7727272727272727,116,9,21,51,False
0.6161454916000366,0.6944444444444444,0.928,0.8426395939086294,0.8112222222222223,0.847457627118644,0.7633587786259541,116,9,22,50,False
0.6197995543479919,0.6805555555555556,0.928,0.8375634517766497,0.8042777777777779,0.8448275862068966,0.7538461538461538,116,9,23,49,False
0.62491774559021,0.6666666666666666,0.928,0.8324873096446701,0.7973333333333333,0.8421052631578947,0.744186046511628,116,9,24,48,False
0.6337794065475464,0.6666666666666666,0.936,0.8375634517766497,0.8013333333333333,0.8571428571428571,0.75,117,8,24,48,False
0.6359535455703735,0.6666666666666666,0.944,0.8426395939086294,0.8053333333333332,0.8727272727272727,0.7559055118110236,118,7,24,48,False
0.6410221457481384,0.6527777777777778,0.944,0.8375634517766497,0.7983888888888888,0.8703703703703703,0.746031746031746,118,7,25,47,False
